Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
adhesion ADHESIVES + SEALANTS,2195-6545,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Administration and Policy in Mental Health and Mental Health Services Research,1573-3289,Yes,,,Springer Nature (Springer)
Adolescent Research Review,2363-8354,Yes,,,Springer Nature (Springer)
Adsorption,1572-8757,Yes,,,Springer Nature (Springer)
Advanced Composites and Hybrid Materials,2522-0136,Yes,,,Springer Nature (Springer)
Advanced Fiber Materials,2524-793X,Yes,,,Springer Nature (Springer)
Advances in Applied Clifford Algebras,1661-4909,Yes,,,Springer Nature (Springer)
Advances in Astronautics Science and Technology,2524-5260,Yes,,,Springer Nature (Springer)
Advances in Atmospheric Sciences,1861-9533,Yes,,,Springer Nature (Springer)
Advances in Computational Intelligence,2730-7808,Yes,,,Springer Nature (Springer)
Advances in Computational Mathematics,1572-9044,Yes,,,Springer Nature (Springer)
Advances in Data Analysis and Classification,1862-5355,Yes,,,Springer Nature (Springer)
Advances in Gerontology,2079-0589,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Advances in Health Sciences Education,1573-1677,Yes,,,Springer Nature (Springer)
Advances in Manufacturing,2195-3597,Yes,,,Springer Nature (Springer)
Advances in Neurodevelopmental Disorders,2366-7540,Yes,,,Springer Nature (Springer)
Advances in Operator Theory,2538-225X,Yes,,,Springer Nature (Springer)
Advances in Therapy,1865-8652,Yes,,,Springer Nature (Adis)
Advances in Traditional Medicine,2662-4060,Yes,,,Springer Nature (Springer)
Adversity and Resilience Science,2662-2416,Yes,,,Springer Nature (Springer)
Aequationes mathematicae,1420-8903,Yes,,,Springer Nature (Springer)
Aerobiologia,1573-3025,Yes,,,Springer Nature (Springer)
Aerosol Science and Engineering,2510-3768,Yes,,,Springer Nature (Springer)
Aerospace Systems,2523-3955,Yes,,,Springer Nature (Springer)
Aerotecnica Missili & Spazio,2524-6968,Yes,,,Springer Nature (Springer)
Aesthetic Plastic Surgery,1432-5241,Yes,,,Springer Nature (Springer)
Affective Science,2662-205X,Yes,,,Springer Nature (Springer)
African Archaeological Review,1572-9842,Yes,,,Springer Nature (Springer)
Afrika Matematika,2190-7668,Yes,,,Springer Nature (Springer)
Ageing International,1936-606X,Yes,,,Springer Nature (Springer)
Aging Clinical and Experimental Research,1720-8319,Yes,,,Springer Nature (Springer)
Agricultural Research,2249-7218,Yes,,,Springer Nature (Springer)
Agriculture and Human Values,1572-8366,Yes,,,Springer Nature (Springer)
Agroforestry Systems,1572-9680,Yes,,,Springer Nature (Springer)
Agronomy for Sustainable Development,1773-0155,Yes,,,Springer Nature (Springer)
AI & SOCIETY,1435-5655,Yes,,,Springer Nature (Springer)
AI and Ethics,2730-5961,Yes,,,Springer Nature (Springer)
AIDS and Behavior,1573-3254,Yes,,,Springer Nature (Springer)
"Air Quality, Atmosphere & Health",1873-9326,Yes,,,Springer Nature (Springer)
Akupunktur & Aurikulomedizin,2196-6400,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Algebra and Logic,1573-8302,Yes,,,Springer Nature (Springer)
Algebra universalis,1420-8911,Yes,,,Springer Nature (Springer)
Algebras and Representation Theory,1572-9079,Yes,,,Springer Nature (Springer)
Algorithmica,1432-0541,Yes,,,Springer Nature (Springer)
Allergo Journal,2195-6405,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Allergo Journal International,2197-0378,Yes,,,Springer Nature (Springer)
Alpine Botany,1664-221X,Yes,,,Springer Nature (Springer)
Ambio,1654-7209,Yes,,,Springer Nature (Springer)
American Journal of Cardiovascular Drugs,1179-187X,Yes,,,Springer Nature (Adis)
American Journal of Clinical Dermatology,1179-1888,Yes,,,Springer Nature (Adis)
American Journal of Criminal Justice,1936-1351,Yes,,,Springer Nature (Springer)
American Journal of Cultural Sociology,2049-7121,Yes,,,Springer Nature (Palgrave Macmillan)
American Journal of Dance Therapy,1573-3262,Yes,,,Springer Nature (Springer)
American Journal of Potato Research,1874-9380,Yes,,,Springer Nature (Springer)
Amino Acids,1438-2199,Yes,,,Springer Nature (Springer)
AMS Review,1869-8182,Yes,,,Springer Nature (Springer)
Analog Integrated Circuits and Signal Processing,1573-1979,Yes,,,Springer Nature (Springer)
Analysis and Mathematical Physics,1664-235X,Yes,,,Springer Nature (Springer)
Analysis Mathematica,1588-273X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Analytical and Bioanalytical Chemistry,1618-2650,Yes,,,Springer Nature (Springer)
Anästhesie Nachrichten,2731-3972,Yes,,,Springer Nature (Springer)
Anatomical Science International,1447-073X,Yes,,,Springer Nature (Springer)
Angiogenesis,1573-7209,Yes,,,Springer Nature (Springer)
Animal Cognition,1435-9456,Yes,,,Springer Nature (Springer)
Annales Henri Poincaré,1424-0661,Yes,,,Springer Nature (Springer)
Annales mathématiques du Québec,2195-4763,Yes,,,Springer Nature (Springer)
ANNALI DELL'UNIVERSITA' DI FERRARA,1827-1510,Yes,,,Springer Nature (Springer)
Annali di Matematica Pura ed Applicata (1923 -),1618-1891,Yes,,,Springer Nature (Springer)
Annals of Biomedical Engineering,1573-9686,Yes,,,Springer Nature (Springer)
Annals of Combinatorics,0219-3094,Yes,,,Springer Nature (Springer)
Annals of Data Science,2198-5812,Yes,,,Springer Nature (Springer)
Annals of Dyslexia,1934-7243,Yes,,,Springer Nature (Springer)
Annals of Finance,1614-2454,Yes,,,Springer Nature (Springer)
Annals of Functional Analysis,2008-8752,Yes,,,Springer Nature (Springer)
Annals of Global Analysis and Geometry,1572-9060,Yes,,,Springer Nature (Springer)
Annals of Hematology,1432-0584,Yes,,,Springer Nature (Springer)
Annals of Mathematics and Artificial Intelligence,1573-7470,Yes,,,Springer Nature (Springer)
Annals of Nuclear Medicine,1864-6433,Yes,,,Springer Nature (Springer)
Annals of Operations Research,1572-9338,Yes,,,Springer Nature (Springer)
Annals of PDE,2199-2576,Yes,,,Springer Nature (Springer)
Annals of Surgical Oncology,1534-4681,Yes,,,Springer Nature (Springer)
Annals of Telecommunications,1958-9395,Yes,,,Springer Nature (Springer)
Annals of the Institute of Statistical Mathematics,1572-9052,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Antonie van Leeuwenhoek,1572-9699,Yes,,,Springer Nature (Springer)
Apidologie,1297-9678,Yes,,,Springer Nature (Springer)
Apoptosis,1573-675X,Yes,,,Springer Nature (Springer)
"Applicable Algebra in Engineering, Communication and Computing",1432-0622,Yes,,,Springer Nature (Springer)
Applications of Mathematics,1572-9109,Yes,,,Springer Nature (Springer)
Applied Biochemistry and Biotechnology,1559-0291,Yes,,,Springer Nature (Springer)
Applied Biochemistry and Microbiology,1608-3024,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Applied Categorical Structures,1572-9095,Yes,,,Springer Nature (Springer)
Applied Composite Materials,1573-4897,Yes,,,Springer Nature (Springer)
Applied Entomology and Zoology,1347-605X,Yes,,,Springer Nature (Springer)
Applied Geomatics,1866-928X,Yes,,,Springer Nature (Springer)
Applied Geophysics,1993-0658,Yes,,,Springer Nature (Springer)
Applied Health Economics and Health Policy,1179-1896,Yes,,,Springer Nature (Adis)
Applied Intelligence,1573-7497,Yes,,,Springer Nature (Springer)
Applied Magnetic Resonance,1613-7507,Yes,,,Springer Nature (Springer)
Applied Mathematics & Optimization,1432-0606,Yes,,,Springer Nature (Springer)
Applied Mathematics and Mechanics,1573-2754,Yes,,,Springer Nature (Springer)
Applied Mathematics-A Journal of Chinese Universities,1993-0445,Yes,,,Springer Nature (Springer)
Applied Microbiology and Biotechnology,1432-0614,Yes,,,Springer Nature (Springer)
Applied Nanoscience,2190-5517,Yes,,,Springer Nature (Springer)
Applied Physics A,1432-0630,Yes,,,Springer Nature (Springer)
Applied Physics B,1432-0649,Yes,,,Springer Nature (Springer)
Applied Psychophysiology and Biofeedback,1573-3270,Yes,,,Springer Nature (Springer)
Applied Research in Quality of Life,1871-2576,Yes,,,Springer Nature (Springer)
Applied Solar Energy,1934-9424,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Applied Spatial Analysis and Policy,1874-4621,Yes,,,Springer Nature (Springer)
Aquaculture International,1573-143X,Yes,,,Springer Nature (Springer)
Aquatic Ecology,1573-5125,Yes,,,Springer Nature (Springer)
Aquatic Geochemistry,1573-1421,Yes,,,Springer Nature (Springer)
Aquatic Sciences,1420-9055,Yes,,,Springer Nature (Springer)
Arabian Journal for Science and Engineering,2191-4281,Yes,,,Springer Nature (Springer)
Arabian Journal of Geosciences,1866-7538,Yes,,,Springer Nature (Springer)
Archaeological and Anthropological Sciences,1866-9565,Yes,,,Springer Nature (Springer)
Archaeologies,1935-3987,Yes,,,Springer Nature (Springer)
"Architecture, Structures and Construction",2730-9894,Yes,,,Springer Nature (Springer)
Archiv der Mathematik,1420-8938,Yes,,,Springer Nature (Springer)
Archival Science,1573-7500,Yes,,,Springer Nature (Springer)
Archive for History of Exact Sciences,1432-0657,Yes,,,Springer Nature (Springer)
Archive for Mathematical Logic,1432-0665,Yes,,,Springer Nature (Springer)
Archive for Rational Mechanics and Analysis,1432-0673,Yes,,,Springer Nature (Springer)
Archive of Applied Mechanics,1432-0681,Yes,,,Springer Nature (Springer)
Archives of Civil and Mechanical Engineering,1644-9665,Yes,,,Springer Nature (Springer)
Archives of Computational Methods in Engineering,1886-1784,Yes,,,Springer Nature (Springer)
Archives of Dermatological Research,1432-069X,Yes,,,Springer Nature (Springer)
Archives of Environmental Contamination and Toxicology,1432-0703,Yes,,,Springer Nature (Springer)
Archives of Gynecology and Obstetrics,1432-0711,Yes,,,Springer Nature (Springer)
Archives of Microbiology,1432-072X,Yes,,,Springer Nature (Springer)
Archives of Orthopaedic and Trauma Surgery,1434-3916,Yes,,,Springer Nature (Springer)
Archives of Osteoporosis,1862-3514,Yes,,,Springer Nature (Springer)
Archives of Pharmacal Research,1976-3786,Yes,,,Springer Nature (Springer)
Archives of Sexual Behavior,1573-2800,Yes,,,Springer Nature (Springer)
Archives of Toxicology,1432-0738,Yes,,,Springer Nature (Springer)
Archives of Virology,1432-8798,Yes,,,Springer Nature (Springer)
Archives of Women's Mental Health,1435-1102,Yes,,,Springer Nature (Springer)
Archivum Immunologiae et Therapiae Experimentalis,1661-4917,Yes,,,Springer Nature (Springer)
Argumentation,1572-8374,Yes,,,Springer Nature (Springer)
Arid Ecosystems,2079-0988,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Arnold Mathematical Journal,2199-6806,Yes,,,Springer Nature (Springer)
Arthropod-Plant Interactions,1872-8847,Yes,,,Springer Nature (Springer)
Arthroskopie,1434-3924,Yes,,,Springer Nature (Springer)
Artificial Intelligence and Law,1572-8382,Yes,,,Springer Nature (Springer)
Artificial Intelligence Review,1573-7462,Yes,,,Springer Nature (Springer)
Artificial Life and Robotics,1614-7456,Yes,,,Springer Nature (Springer)
Asia Europe Journal,1612-1031,Yes,,,Springer Nature (Springer)
Asia Pacific Education Review,1876-407X,Yes,,,Springer Nature (Springer)
Asia Pacific Journal of Management,1572-9958,Yes,,,Springer Nature (Springer)
Asia-Pacific Financial Markets,1573-6946,Yes,,,Springer Nature (Springer)
Asia-Pacific Journal of Atmospheric Sciences,1976-7951,Yes,,,Springer Nature (Springer)
Asia-Pacific Journal of Regional Science,2509-7954,Yes,,,Springer Nature (Springer)
Asian Archaeology,2520-8101,Yes,,,Springer Nature (Springer)
Asian Bioethics Review,1793-9453,Yes,,,Springer Nature (Springer)
Asian Business & Management,1476-9328,Yes,,,Springer Nature (Palgrave Macmillan)
Asian Journal of Business Ethics,2210-6731,Yes,,,Springer Nature (Springer)
Asian Journal of Civil Engineering,2522-011X,Yes,,,Springer Nature (Springer)
Asian Journal of Criminology,1871-014X,Yes,,,Springer Nature (Springer)
AStA Advances in Statistical Analysis,1863-818X,Yes,,,Springer Nature (Springer)
AStA Wirtschafts- und Sozialstatistisches Archiv,1863-8163,Yes,,,Springer Nature (Springer)
ästhetische dermatologie & kosmetologie,2198-6517,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Astrodynamics,2522-0098,Yes,,,Springer Nature (Springer)
Astronomy Letters,1562-6873,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Astronomy Reports,1562-6881,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Astrophysical Bulletin,1990-3421,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Astrophysics,1573-8191,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Astrophysics and Space Science,1572-946X,Yes,,,Springer Nature (Springer)
Atlantic Economic Journal,1573-9678,Yes,,,Springer Nature (Springer)
Atmospheric and Oceanic Optics,2070-0393,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Atomic Energy,1573-8205,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Attention, Perception, & Psychophysics",1943-393X,Yes,,,Springer Nature (Springer)
ATZ - Automobiltechnische Zeitschrift,2192-8800,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
ATZ worldwide,2192-9076,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
ATZelectronics worldwide,2524-8804,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
ATZelektronik,2192-8878,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
ATZheavy duty,2524-8790,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
ATZheavy duty worldwide,2524-8774,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Augmented Human Research,2365-4325,Yes,,,Springer Nature (Springer)
Australasian Plant Pathology,1448-6032,Yes,,,Springer Nature (Springer)
Automated Software Engineering,1573-7535,Yes,,,Springer Nature (Springer)
Automatic Control and Computer Sciences,1558-108X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Automatic Documentation and Mathematical Linguistics,1934-8371,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Automation and Remote Control,1608-3032,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Automotive and Engine Technology,2365-5135,Yes,,,Springer Nature (Springer)
Automotive Innovation,2522-8765,Yes,,,Springer Nature (Springer)
Autonomous Agents and Multi-Agent Systems,1573-7454,Yes,,,Springer Nature (Springer)
Autonomous Robots,1573-7527,Yes,,,Springer Nature (Springer)
Axiomathes,1572-8390,Yes,,,Springer Nature (Springer)
Banach Journal of Mathematical Analysis,1735-8787,Yes,,,Springer Nature (Springer)
Basic Research in Cardiology,1435-1803,Yes,,,Springer Nature (Springer)
Behavior Analysis in Practice,2196-8934,Yes,,,Springer Nature (Springer)
Behavior and Social Issues,2376-6786,Yes,,,Springer Nature (Springer)
Behavior Genetics,1573-3297,Yes,,,Springer Nature (Springer)
Behavior Research Methods,1554-3528,Yes,,,Springer Nature (Springer)
Behavioral Ecology and Sociobiology,1432-0762,Yes,,,Springer Nature (Springer)
Behaviormetrika,1349-6964,Yes,,,Springer Nature (Springer)
Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry,2191-0383,Yes,,,Springer Nature (Springer)
Berliner Journal für Soziologie,1862-2593,Yes,,,Springer Nature (Springer)
best practice onkologie,1862-8559,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
BHM Berg- und Hüttenmännische Monatshefte,1613-7531,Yes,,,Springer Nature (Springer)
Bio-Design and Manufacturing,2522-8552,Yes,,,Springer Nature (Springer)
Biochemical Genetics,1573-4927,Yes,,,Springer Nature (Springer)
Biochemistry (Moscow),1608-3040,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Biochemistry (Moscow), Supplement Series A: Membrane and Cell Biology",1990-7494,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Biochemistry (Moscow), Supplement Series B: Biomedical Chemistry",1990-7516,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
BioChip Journal,2092-7843,Yes,,,Springer Nature (Springer)
BioControl,1573-8248,Yes,,,Springer Nature (Springer)
Biodegradation,1572-9729,Yes,,,Springer Nature (Springer)
Biodiversity and Conservation,1572-9710,Yes,,,Springer Nature (Springer)
BioDrugs,1179-190X,Yes,,,Springer Nature (Adis)
BioEnergy Research,1939-1242,Yes,,,Springer Nature (Springer)
Biogeochemistry,1573-515X,Yes,,,Springer Nature (Springer)
Biogerontology,1573-6768,Yes,,,Springer Nature (Springer)
Biologia,1336-9563,Yes,,,Springer Nature (Springer)
Biologia Futura,2676-8607,Yes,,,Springer Nature (Springer)
Biological Cybernetics,1432-0770,Yes,,,Springer Nature (Springer)
Biological Invasions,1573-1464,Yes,,,Springer Nature (Springer)
Biological Theory,1555-5550,Yes,,,Springer Nature (Springer)
Biological Trace Element Research,1559-0720,Yes,,,Springer Nature (Springer)
Biology & Philosophy,1572-8404,Yes,,,Springer Nature (Springer)
Biology and Fertility of Soils,1432-0789,Yes,,,Springer Nature (Springer)
Biology Bulletin,1608-3059,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Biology Bulletin Reviews,2079-0872,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Biomass Conversion and Biorefinery,2190-6823,Yes,,,Springer Nature (Springer)
Biomechanics and Modeling in Mechanobiology,1617-7940,Yes,,,Springer Nature (Springer)
Biomedical Engineering,1573-8256,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Biomedical Engineering Education,2730-5945,Yes,,,Springer Nature (Springer)
Biomedical Engineering Letters,2093-985X,Yes,,,Springer Nature (Springer)
Biomedical Microdevices,1572-8781,Yes,,,Springer Nature (Springer)
BioMetals,1572-8773,Yes,,,Springer Nature (Springer)
Biomolecular NMR Assignments,1874-270X,Yes,,,Springer Nature (Springer)
BioNanoScience,2191-1649,Yes,,,Springer Nature (Springer)
Biophysical Economics and Sustainability,2730-7204,Yes,,,Springer Nature (Springer)
Biophysical Reviews,1867-2469,Yes,,,Springer Nature (Springer)
Biophysics,1555-6654,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Bioprocess and Biosystems Engineering,1615-7605,Yes,,,Springer Nature (Springer)
Biosemiotics,1875-1350,Yes,,,Springer Nature (Springer)
BioSocieties,1745-8560,Yes,,,Springer Nature (Palgrave Macmillan)
BIOspektrum,1868-6249,Yes,,,Springer Nature (Springer)
Biotechnology and Bioprocess Engineering,1976-3816,Yes,,,Springer Nature (Springer)
Biotechnology Letters,1573-6776,Yes,,,Springer Nature (Springer)
BIT Numerical Mathematics,1572-9125,Yes,,,Springer Nature (Springer)
Boletín de la Sociedad Matemática Mexicana,2296-4495,Yes,,,Springer Nature (Springer)
Bollettino dell'Unione Matematica Italiana,2198-2759,Yes,,,Springer Nature (Springer)
Bone Marrow Transplantation,1476-5365,Yes,,,Springer Nature (Academic Journals on Nature.com)
Boundary-Layer Meteorology,1573-1472,Yes,,,Springer Nature (Springer)
Brain Imaging and Behavior,1931-7565,Yes,,,Springer Nature (Springer)
Brain Structure and Function,1863-2661,Yes,,,Springer Nature (Springer)
Brain Topography,1573-6792,Yes,,,Springer Nature (Springer)
Brain Tumor Pathology,1861-387X,Yes,,,Springer Nature (Springer)
Brazilian Journal of Botany,1806-9959,Yes,,,Springer Nature (Springer)
Brazilian Journal of Chemical Engineering,1678-4383,Yes,,,Springer Nature (Springer)
Brazilian Journal of Microbiology,1678-4405,Yes,,,Springer Nature (Springer)
Brazilian Journal of Physics,1678-4448,Yes,,,Springer Nature (Springer)
Breast Cancer,1880-4233,Yes,,,Springer Nature (Springer)
Breast Cancer Research and Treatment,1573-7217,Yes,,,Springer Nature (Springer)
British Dental Journal,1476-5373,Yes,,,Springer Nature (Academic Journals on Nature.com)
British Journal of Cancer,1532-1827,Yes,,,Springer Nature (Academic Journals on Nature.com)
British Politics,1746-9198,Yes,,,Springer Nature (Palgrave Macmillan)
Brittonia,1938-436X,Yes,,,Springer Nature (Springer)
Building Simulation,1996-8744,Yes,,,Springer Nature (Springer)
Bulletin of Atmospheric Science and Technology,2662-1509,Yes,,,Springer Nature (Springer)
Bulletin of Earthquake Engineering,1573-1456,Yes,,,Springer Nature (Springer)
Bulletin of Engineering Geology and the Environment,1435-9537,Yes,,,Springer Nature (Springer)
Bulletin of Environmental Contamination and Toxicology,1432-0800,Yes,,,Springer Nature (Springer)
Bulletin of Experimental Biology and Medicine,1573-8221,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Bulletin of Materials Science,0973-7669,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Bulletin of Mathematical Biology,1522-9602,Yes,,,Springer Nature (Springer)
"Bulletin of the Brazilian Mathematical Society, New Series",1678-7714,Yes,,,Springer Nature (Springer)
Bulletin of the Iranian Mathematical Society,1735-8515,Yes,,,Springer Nature (Springer)
Bulletin of the Lebedev Physics Institute,1934-838X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Bulletin of the Malaysian Mathematical Sciences Society,2180-4206,Yes,,,Springer Nature (Springer)
Bulletin of the Russian Academy of Sciences: Physics,1934-9432,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Bulletin of Volcanology,1432-0819,Yes,,,Springer Nature (Springer)
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1437-1588,Yes,,,Springer Nature (Springer)
Business & Information Systems Engineering,1867-0202,Yes,,,Springer Nature (Springer)
Business Economics,1554-432X,Yes,,,Springer Nature (Palgrave Macmillan)
Calcified Tissue International,1432-0827,Yes,,,Springer Nature (Springer)
Calcolo,1126-5434,Yes,,,Springer Nature (Springer)
Calculus of Variations and Partial Differential Equations,1432-0835,Yes,,,Springer Nature (Springer)
Cambridge Journal of Evidence-Based Policing,2520-1336,Yes,,,Springer Nature (Springer)
Canadian Journal of Anesthesia/Journal canadien d'anesthésie,1496-8975,Yes,,,Springer Nature (Springer)
Canadian Journal of Emergency Medicine,1481-8043,Yes,,,Springer Nature (Springer)
Canadian Journal of Public Health,1920-7476,Yes,,,Springer Nature (Springer)
"Canadian Journal of Science, Mathematics and Technology Education",1942-4051,Yes,,,Springer Nature (Springer)
Canadian Studies in Population,1927-629X,Yes,,,Springer Nature (Springer)
Cancer and Metastasis Reviews,1573-7233,Yes,,,Springer Nature (Springer)
Cancer Causes & Control,1573-7225,Yes,,,Springer Nature (Springer)
Cancer Chemotherapy and Pharmacology,1432-0843,Yes,,,Springer Nature (Springer)
Cancer Gene Therapy,1476-5500,Yes,,,Springer Nature (Academic Journals on Nature.com)
"Cancer Immunology, Immunotherapy",1432-0851,Yes,,,Springer Nature (Springer)
Carbon Letters,2233-4998,Yes,,,Springer Nature (Springer)
Carbonates and Evaporites,1878-5212,Yes,,,Springer Nature (Springer)
CardioVasc,1618-3851,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
CardioVascular and Interventional Radiology,1432-086X,Yes,,,Springer Nature (Springer)
Cardiovascular Drugs and Therapy,1573-7241,Yes,,,Springer Nature (Springer)
Cardiovascular Engineering and Technology,1869-4098,Yes,,,Springer Nature (Springer)
Cardiovascular Intervention and Therapeutics,1868-4297,Yes,,,Springer Nature (Springer)
Cardiovascular Toxicology,1559-0259,Yes,,,Springer Nature (Springer)
Catalysis in Industry,2070-0555,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Catalysis Letters,1572-879X,Yes,,,Springer Nature (Springer)
Catalysis Surveys from Asia,1574-9266,Yes,,,Springer Nature (Springer)
CCF Transactions on High Performance Computing,2524-4930,Yes,,,Springer Nature (Springer)
CCF Transactions on Networking,2520-8470,Yes,,,Springer Nature (Springer)
CCF Transactions on Pervasive Computing and Interaction,2524-5228,Yes,,,Springer Nature (Springer)
CEAS Aeronautical Journal,1869-5590,Yes,,,Springer Nature (Springer)
CEAS Space Journal,1868-2510,Yes,,,Springer Nature (Springer)
Celestial Mechanics and Dynamical Astronomy,1572-9478,Yes,,,Springer Nature (Springer)
Cell and Tissue Banking,1573-6814,Yes,,,Springer Nature (Springer)
Cell and Tissue Biology,1990-5203,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Cell and Tissue Research,1432-0878,Yes,,,Springer Nature (Springer)
Cell Biochemistry and Biophysics,1559-0283,Yes,,,Springer Nature (Springer)
Cell Biology and Toxicology,1573-6822,Yes,,,Springer Nature (Springer)
Cell Death & Differentiation,1476-5403,Yes,,,Springer Nature (Academic Journals on Nature.com)
Cell Research,1748-7838,Yes,,,Springer Nature (Academic Journals on Nature.com)
Cell Stress and Chaperones,1466-1268,Yes,,,Springer Nature (Springer)
