Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Energy Technology,2194-4296,Yes,,,Wiley
Entomologia Experimentalis et Applicata,1570-7458,Yes,,,Wiley
Entomological Research,1748-5967,Yes,,,Wiley
Environmental and Molecular Mutagenesis,1098-2280,Yes,,,Wiley
Environmental Microbiology,1462-2920,Yes,,,Wiley
Environmental Microbiology Reports,1758-2229,Yes,,,Wiley
Environmental Policy and Governance,1756-9338,Yes,,,Wiley
Environmental Progress & Sustainable Energy,1944-7450,Yes,,,Wiley
Environmental Quality Management,1520-6483,Yes,,,Wiley
Environmental Toxicology,1522-7278,Yes,,,Wiley
Environmetrics,1099-095X,Yes,,,Wiley
Epilepsia,1528-1167,Yes,,,Wiley
EPPO Bulletin,1365-2338,Yes,,,Wiley
Equine Veterinary Education,2042-3292,Yes,,,Wiley
Equine Veterinary Journal,2042-3306,Yes,,,Wiley
Ethics & Human Research,2578-2363,Yes,,,Wiley
Ethology,1439-0310,Yes,,,Wiley
Ethos,1548-1352,Yes,,,Wiley
EuroChoices,1746-692X,Yes,,,Wiley
European Eating Disorders Review,1099-0968,Yes,,,Wiley
European Financial Management,1468-036X,Yes,,,Wiley
European Journal of Cancer Care,1365-2354,Yes,,,Wiley
European Journal of Clinical Investigation,1365-2362,Yes,,,Wiley
European Journal of Dental Education,1600-0579,Yes,,,Wiley
European Journal of Education,1465-3435,Yes,,,Wiley
European Journal of Haematology,1600-0609,Yes,,,Wiley
European Journal of Heart Failure,1879-0844,Yes,,,Wiley
European Journal of Immunology,1521-4141,Yes,,,Wiley
European Journal of Inorganic Chemistry,1099-0682,Yes,,,Wiley
European Journal of Lipid Science and Technology,1438-9312,Yes,,,Wiley
European Journal of Neurology,1468-1331,Yes,,,Wiley
European Journal of Neuroscience,1460-9568,Yes,,,Wiley
European Journal of Oral Sciences,1600-0722,Yes,,,Wiley
European Journal of Organic Chemistry,1099-0690,Yes,,,Wiley
European Journal of Pain,1532-2149,Yes,,,Wiley
European Journal of Philosophy,1468-0378,Yes,,,Wiley
European Journal of Political Research,1475-6765,Yes,,,Wiley
European Journal of Political Research Political Data Yearbook,2047-8852,Yes,,,Wiley
European Journal of Social Psychology,1099-0992,Yes,,,Wiley
European Journal of Soil Science,1365-2389,Yes,,,Wiley
European Law Journal,1468-0386,Yes,,,Wiley
European Management Review,1740-4762,Yes,,,Wiley
European Policy Analysis,2380-6567,Yes,,,Wiley
Evolution & Development,1525-142X,Yes,,,Wiley
Evolutionary Anthropology,1520-6505,Yes,,,Wiley
Experimental Dermatology,1600-0625,Yes,,,Wiley
Experimental Physiology,1469-445X,Yes,,,Wiley
Expert Systems,1468-0394,Yes,,,Wiley
Family & Consumer Sciences Research Journal,1552-3934,Yes,,,Wiley
Family Court Review,1744-1617,Yes,,,Wiley
Family Process,1545-5300,Yes,,,Wiley
Family Relations,1741-3729,Yes,,,Wiley
Fatigue & Fracture of Engineering Materials & Structures,1460-2695,Yes,,,Wiley
FEBS Letters,1873-3468,Yes,,,Wiley
Feddes Repertorium,1522-239X,Yes,,,Wiley
Feminist Anthropology,2643-7961,Yes,,,Wiley
Financial Accountability & Management,1468-0408,Yes,,,Wiley
Financial Management,1755-053X,Yes,,,Wiley
"Financial Markets, Institutions & Instruments",1468-0416,Yes,,,Wiley
Financial Planning Review,2573-8615,Yes,,,Wiley
Fire and Materials,1099-1018,Yes,,,Wiley
Fiscal Studies,1475-5890,Yes,,,Wiley
Fish and Fisheries,1467-2979,Yes,,,Wiley
Fisheries,1548-8446,Yes,,,Wiley
Fisheries Management and Ecology,1365-2400,Yes,,,Wiley
Fisheries Oceanography,1365-2419,Yes,,,Wiley
Flavour and Fragrance Journal,1099-1026,Yes,,,Wiley
Foreign Language Annals,1944-9720,Yes,,,Wiley
Forest Pathology,1439-0329,Yes,,,Wiley
Fortschritte der Physik,1521-3978,Yes,,,Wiley
Freshwater Biology,1365-2427,Yes,,,Wiley
Fuel Cells,1615-6854,Yes,,,Wiley
Fundamental & Clinical Pharmacology,1472-8206,Yes,,,Wiley
Futures & Foresight Science,2573-5152,Yes,,,Wiley
GAMM - Mitteilungen,1522-2608,Yes,,,Wiley
Gender & History,1468-0424,Yes,,,Wiley
"Gender, Work & Organisation",1468-0432,Yes,,,Wiley
General Anthropology,1939-3466,Yes,,,Wiley
"Genes, Chromosomes and Cancer",1098-2264,Yes,,,Wiley
Genesis: The Journal of Genetics and Development,1526-968X,Yes,,,Wiley
Genetic Epidemiology,1098-2272,Yes,,,Wiley
Geoarchaeology,1520-6548,Yes,,,Wiley
Geobiology,1472-4669,Yes,,,Wiley
Geographical Analysis,1538-4632,Yes,,,Wiley
Geographical Research,1745-5871,Yes,,,Wiley
Geography Compass (Electronic),1749-8198,Yes,,,Wiley
Geological Journal,1099-1034,Yes,,,Wiley
Geophysical Prospecting,1365-2478,Yes,,,Wiley
