Journal,Issn,Included_in_R_P_Agreement,Publisher,full_title,journal_IF
Development Genes and Evolution,1432-041X,Yes,Springer Nature (Springer),Development Genes and Evolution,0.9
Biomolecular NMR Assignments,1874-270X,Yes,Springer Nature (Springer),Biomolecular Nmr Assignments,0.746
Thalassas: An International Journal of Marine Sciences,2366-1674,Yes,Springer Nature (Springer),Thalassas,0.62
Evolutionary Human Sciences,2513-843X,Yes,CUP,Evolutionary Human Sciences,NA
Journal of Language Evolution,2058-458X,Yes,OUP,Journal of Language Evolution,NA
Current Molecular Biology Reports,2198-6428,Yes,Springer Nature (Springer),Current Molecular Biology Reports,NA
Evolutionary and Institutional Economics Review,2188-2096,Yes,Springer Nature (Springer),Evolutionary and Institutional Economics Review,NA
Evolutionary Intelligence,1864-5917,Yes,Springer Nature (Springer),Evolutionary Intelligence,NA
Evolutionary Psychological Science,2198-9885,Yes,Springer Nature (Springer),Evolutionary Psychological Science,NA
Journal of Marine Science and Application,1993-5048,Yes,Springer Nature (Springer),Journal of Marine Science and Application,NA
Journal of Molecular Medicine,1432-1440,Yes,Springer Nature (Springer),Journal of Molecular Medicine,NA
Journal of Ocean Engineering and Marine Energy,2198-6452,Yes,Springer Nature (Springer),Journal of Ocean Engineering and Marine Energy,NA
Marine Life Science & Technology,2662-1746,Yes,Springer Nature (Springer),Marine Life Science and Technology,NA
Marine Systems & Ocean Technology,2199-4749,Yes,Springer Nature (Springer),Marine Systems and Ocean Technology,NA
NeuroMolecular Medicine,1559-1174,Yes,Springer Nature (Springer),Neuro Molecular Medicine,NA
Nuclear Medicine and Molecular Imaging,1869-3482,Yes,Springer Nature (Springer),Nuclear Medicine and Molecular Imaging,NA
Review of Evolutionary Political Economy,2662-6144,Yes,Springer Nature (Springer),Review of Evolutionary Political Economy,NA
The Pharmacogenomics Journal,1473-1150,Yes,Springer Nature (Academic Journals on Nature.com),The Pharmacogenomics Journal,NA
Current Protocols in Molecular Biology,1934-3647,Yes,Wiley,Current Protocols in Molecular Biology,NA
Macromolecular Symposia,1521-3900,Yes,Wiley,Macromolecular Symposia,NA
Marine Ecology,1439-0485,Yes,Wiley,Marine Ecology,NA
