Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Additive Manufacturing,2214-8604,Yes,,,Elsevier
Additive Manufacturing Letters,2772-3690,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Adelphi Series,1944-558X,No,OA not available,,Taylor and Francis
adhäsion KLEBEN & DICHTEN,2192-8681,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
adhesion ADHESIVES + SEALANTS,2195-6545,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Adipocyte,2162-397X,No,Fully open access journal,,Taylor and Francis
Administration and Policy in Mental Health and Mental Health Services Research,1573-3289,Yes,,,Springer Nature (Springer)
Administrative Theory & Praxis,1949-0461,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Adolescent Research Review,2363-8354,Yes,,,Springer Nature (Springer)
Adoption Quarterly,1544-452X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Adsorption,1572-8757,Yes,,,Springer Nature (Springer)
Advanced Agrochem,2773-2371,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advanced Composite Materials,1568-5519,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Advanced Composites and Hybrid Materials,2522-0136,Yes,,,Springer Nature (Springer)
Advanced Drug Delivery Reviews,0169-409X,Yes,,,Elsevier
Advanced Engineering Informatics,1474-0346,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advanced Fiber Materials,2524-793X,Yes,,,Springer Nature (Springer)
Advanced Industrial and Engineering Polymer Research,2542-5048,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advanced Manufacturing: Polymer & Composites Science,2055-0359,No,Fully open access journal,,Taylor and Francis
Advanced Membranes,2772-8234,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advanced Optical Technologies,2192-8584,Yes,,,De Gruyter
Advanced Powder Materials,2772-834X,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advanced Powder Technology,0921-8831,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advanced Robotics,1568-5535,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Advanced Sensor and Energy Materials,2773-045X,No,Society invoices APC - not on Elsevier systems,,Elsevier
Advances in Accounting,0882-6110,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Applied Ceramics,1743-6761,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Advances in Applied Clifford Algebras,1661-4909,Yes,,,Springer Nature (Springer)
Advances in Applied Energy,2666-7924,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Applied Mathematics,0196-8858,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Applied Probability,1475-6064,No,No OA available,,CUP
Advances in Archaeological Practice,2326-3768,Yes,,,CUP
Advances in Archaeomaterials,2667-1360,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advances in Astronautics Science and Technology,2524-5260,Yes,,,Springer Nature (Springer)
Advances in Atmospheric Sciences,1861-9533,Yes,,,Springer Nature (Springer)
Advances in Bamboo Science,2773-1391,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Biological Regulation,2212-4926,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Biomarker Sciences and Technology,2543-1064,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advances in Building Energy Research,1756-2201,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Advances in Calculus of Variations,1864-8266,Yes,,,De Gruyter
Advances in Cancer Biology - Metastasis,2667-3940,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Climate Change Research,1674-9278,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Advances in Colloid and Interface Science,0001-8686,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Computational Intelligence,2730-7808,Yes,,,Springer Nature (Springer)
Advances in Computational Mathematics,1572-9044,Yes,,,Springer Nature (Springer)
Advances in Data Analysis and Classification,1862-5355,Yes,,,Springer Nature (Springer)
Advances in Engineering Software,0965-9978,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Geometry ,1615-7168,Yes,,,De Gruyter
Advances in Gerontology,2079-0589,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Advances in Health Sciences Education,1573-1677,Yes,,,Springer Nature (Springer)
Advances in Industrial and Manufacturing Engineering,2666-9129,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Integrative Medicine,2212-9588,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Kidney Disease and Health,2949-8139,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Life Course Research,1040-2608,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Manufacturing,2195-3597,Yes,,,Springer Nature (Springer)
Advances in Materials and Processing Technologies,2374-0698,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Advances in Mathematics,0001-8708,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Medical Sciences,1896-1126,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Advances in Mental Health,1837-4905,Yes,,,Taylor and Francis
Advances in Natural Sciences: Nanoscience and Nanotechnology,2043-6262,No,Publisher does not have rights to include this title in the agreement.,,IOP
Advances in Neurodevelopmental Disorders,2366-7540,Yes,,,Springer Nature (Springer)
Advances in Nutrition,2156-5376,No,,,Elsevier
Advances in Operator Theory,2538-225X,Yes,,,Springer Nature (Springer)
Advances in Ophthalmology Practice and Research,2667-3762,No,Society invoices APC - not on Elsevier systems,,Elsevier
Advances in Oral and Maxillofacial Surgery,2667-1476,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Physics,1460-6976,No,OA not available,,Taylor and Francis
Advances in Physics: X,2374-6149,No,Fully open access journal,,Taylor and Francis
Advances in Radiation Oncology,2452-1094,No,Society owner has not opted in to transformative agreements,,Elsevier
Advances in Redox Research,2667-1379,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Sample Preparation,2772-5820,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Advances in Space Research,0273-1177,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"Advances in Therapy (Rapid Publishing Fee applies - Please check journal website for details https://www.springer.com/gp/adis/products-services/adis-journals-newsletters/adis-journals#toc-49262)
",1865-8652,Yes,"Please note this title charges a ""Rapid Publishing Fee"" for all articles.  See journal website for details:https://www.springer.com/gp/adis/products-services/adis-journals-newsletters/adis-journals#toc-49262",,Springer Nature (Adis)
Advances in Traditional Medicine,2662-4060,Yes,,,Springer Nature (Springer)
Advances in Water Resources,0309-1708,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Adversity and Resilience Science,2662-2416,Yes,,,Springer Nature (Springer)
Aeolian Research,1875-9637,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Aequationes mathematicae,1420-8903,Yes,,,Springer Nature (Springer)
Aerobiologia,1573-3025,Yes,,,Springer Nature (Springer)
Aerosol Science and Engineering,2510-3768,Yes,,,Springer Nature (Springer)
Aerosol Science and Technology,1521-7388,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Aerospace Science and Technology,1270-9638,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Aerospace Systems,2523-3955,Yes,,,Springer Nature (Springer)
Aerotecnica Missili & Spazio,2524-6968,Yes,,,Springer Nature (Springer)
Aesthetic Plastic Surgery,1432-5241,Yes,,,Springer Nature (Springer)
Aesthetic Surgery Journal,1527-330X,Yes,,,OUP
AEÜ - International Journal of Electronics and Communications,1434-8411,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Affective Science,2662-205X,Yes,,,Springer Nature (Springer)
Africa,1750-0184,Yes,,,CUP
Africa Bibliography,1757-1642,No,No OA available,,CUP
"Africa Bibliography, Research and Documentation",2752-6402,Yes,,,CUP
Africa Education Review,1753-5921,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Africa Journal of Management,2332-2381,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Africa Review ,0974-4061,Yes,,,BRILL
African Affairs,1468-2621,Yes,,,OUP
African and Asian Studies,1569-2108,Yes,,,BRILL
African and Black Diaspora: An International Journal,1752-864X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Archaeological Review,1572-9842,Yes,,,Springer Nature (Springer)
African Diaspora,1872-5465,Yes,,,BRILL
African Geographical Review,2163-2642,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Historical Review,1753-2531,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Identities,1472-5851,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Journal of AIDS Research,1727-9445,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Journal of Aquatic Science,1727-9364,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Journal of Emergency Medicine,2211-419X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
African Journal of Herpetology,2153-3660,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Journal of Legal Studies,1708-7384,Yes,,,BRILL
African Journal of Marine Science,1814-2338,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Journal of Midwifery,2052-4293,Yes,,,MA Healthcare
African Journal of Range & Forage Science,1727-9380,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"African Journal of Research in Mathematics, Science and Technology Education",2469-7656,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"African Journal of Science, Technology, Innovation and Development",2042-1346,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Journalism Studies,2374-3689,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Security,1939-2214,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Security Review,2154-0128,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Studies,1469-2872,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
African Studies Review,1555-2462,Yes,,,CUP
African Yearbook of International Law Online / Annuaire Africain de droit international Online,2211-6176,Yes,,,BRILL
African Zoology,2224-073X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Afrika Focus,2031-356X,Yes,,,BRILL
Afrika Matematika,2190-7668,Yes,,,Springer Nature (Springer)
Age and Ageing,1468-2834,Yes,,,OUP
Ageing & Society,1469-1779,Yes,,,CUP
Ageing International,1936-606X,Yes,,,Springer Nature (Springer)
Ageing Research Reviews,1568-1637,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Agenda,2158-978X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Aggression and Violent Behavior,1359-1789,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Aging & Mental Health,1364-6915,Yes,,,Taylor and Francis
Aging and Health Research,2667-0321,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Aging Brain,2589-9589,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Aging Clinical and Experimental Research,1720-8319,Yes,,,Springer Nature (Springer)
"Aging, Neuropsychology, and Cognition",1744-4128,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Agrekon,2078-0400,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Agricultural and Forest Meteorology,0168-1923,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Agricultural and Resource Economics Review,2372-2614,Yes,,,CUP
Agricultural Research,2249-7218,Yes,,,Springer Nature (Springer)
Agricultural Systems,0308-521X,Yes,,,Elsevier
Agricultural Water Management,0378-3774,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Agriculture and Human Values,1572-8366,Yes,,,Springer Nature (Springer)
"Agriculture, Ecosystems & Environment",0167-8809,Yes,,,Elsevier
Agroecology and Sustainable Food Systems,2168-3573,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Agroforestry Systems,1572-9680,Yes,,,Springer Nature (Springer)
Agronomy for Sustainable Development,1773-0155,Yes,,,Springer Nature (Springer)
AI & SOCIETY,1435-5655,Yes,,,Springer Nature (Springer)
AI and Ethics,2730-5961,Yes,,,Springer Nature (Springer)
AI EDAM,1469-1760,Yes,,,CUP
AI Open,2666-6510,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
AICCM Bulletin,2204-4183,Yes,,,Taylor and Francis
AIDS and Behavior,1573-3254,Yes,,,Springer Nature (Springer)
AIDS Care,1360-0451,Yes,,,Taylor and Francis
Ain Shams Engineering Journal,2090-4479,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Air Medical Journal,1067-991X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"Air Quality, Atmosphere & Health",1873-9326,Yes,,,Springer Nature (Springer)
AJIL Unbound,2398-7723,Yes,,,CUP
AJO-DO Clinical Companion,2666-4305,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
AJOB Empirical Bioethics,2329-4523,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
AJOB Neuroscience,2150-7759,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
AJOG Global Reports,2666-5778,No,Gold OA Title.  15% discount on APC charges,,Elsevier
AJPM Focus,2773-0654,No,Gold OA Title.  15% discount on APC charges,,Elsevier
AKCE International Journal of Graphs and Combinatorics,2543-3474,No,Fully open access journal,,Taylor and Francis
Akupunktur & Aurikulomedizin,2196-6400,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Al Abhath,2589-997X,Yes,,,BRILL
Al-Bayan: Journal of Qur'an and Hadith Studies,2232-1969,Yes,,,BRILL
Al-Markaz: Majallat al-Dirāsāt al-ʿArabiyya/ المركز: مجلة الدراسات العربية,2772-8250,Yes,,,BRILL
Al-Masāq,1473-348X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Alcheringa: An Australasian Journal of Palaeontology,1752-0754,Yes,,,Taylor and Francis
Alcohol,0741-8329,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Alcohol and Alcoholism,1464-3502,Yes,,,OUP
Alcoholism Treatment Quarterly,1544-4538,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Alexandria Engineering Journal,1110-0168,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Alexandria Journal of Medicine,2090-5076,No,Fully open access journal,,Taylor and Francis
Algal Research,2211-9264,Yes,,,Elsevier
Algebra and Logic,1573-8302,Yes,,,Springer Nature (Springer)
Algebra universalis,1420-8911,Yes,,,Springer Nature (Springer)
Algebras and Representation Theory,1572-9079,Yes,,,Springer Nature (Springer)
Algorithmica,1432-0541,Yes,,,Springer Nature (Springer)
All Earth,2766-9645,No,Fully open access journal,,Taylor and Francis
All Life,2689-5307,No,Fully open access journal,,Taylor and Francis
All Life Methods,2833-0501 ,No,Fully open access journal,,Taylor and Francis
Allergo Journal,2195-6405,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Allergo Journal International,2197-0378,Yes,,,Springer Nature (Springer)
Allergology International,1323-8930,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Alpine Botany,1664-221X,Yes,,,Springer Nature (Springer)
Altorientalische Forschungen,2196-6761,Yes,,,De Gruyter
Ambio,1654-7209,Yes,,,Springer Nature (Springer)
Ambix,1745-8234,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Amerasia Journal,0044-7471 ,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Antiquity,2325-5064,Yes,,,CUP
American Communist History,1474-3906,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Entomologist,2155-9902,Yes,,,OUP
