Acta Endocrinologica Bucharest,Acta Endocrinol,0.877
Acta Endocrinologica Bucharest,Acta Endocrinol-buch,0.877
Acta Entomologica Musei Nationalis Pragae,Acta Ent Mus Nat Pra,0.737
Acta Ethologica,Acta Ethol,1.231
Acta Ethologica,Acta Etholog,1.231
Acta Gastro Enterologica Belgica,Acta Gastro-ent Belg,1.316
Acta Geodynamica et Geomaterialia,Acta Geodyn Geomater,1.176
Acta Geographica Slovenica Geografski Zbornik,Acta Geogr Slov,1.698
Acta Geologica Polonica,Acta Geol Pol,0.983
Acta Geologica Sinica English Edition,Acta Geol Sin-engl,1.886
Acta Geophysica,Acta Geophys,2.054
Acta Geotechnica,Acta Geotech,5.856
Acta Geotechnica Slovenica,Acta Geotech Slov,0.5
Acta Haematologica,Acta Haematol-basel,2.195
Acta Herpetologica,Acta Herpetol,0.848
Acta Histochemica,Acta Histochem,2.479
Acta Histochemica et Cytochemica,Acta Histochem Cytoc,1.938
Acta Histriae,Acta Histriae,0.161
Acta Ichthyologica et Piscatoria,Acta Ichthyol Piscat,0.928
Acta Informatica,Acta Inform,0.375
Acta Linguistica Hungarica,Acta Linguist Hungar,0.523
Acta Materialia,Acta Mater,8.203
Acta Mathematica,Acta Math-djursholm,4.273
Acta Mathematicae Applicatae Sinica English Series,Acta Math Appl Sin-e,1.102
Acta Mathematica Hungarica,Acta Math Hung,0.623
Acta Mathematica Scientia,Acta Math Sci,1.258
Acta Mathematica Sinica English Series,Acta Math Sin,0.955
Acta Mechanica,Acta Mech,2.698
Acta Mechanica Sinica,Acta Mech Sinica,1.975
Acta Mechanica Sinica,Acta Mech Sinica-prc,1.975
Acta Mechanica Solida Sinica,Acta Mech Solida Sin,2.161
Acta Medica Mediterranea,Acta Medica Mediterr,0.219
Acta Medica Okayama,Acta Med Okayama,0.892
Acta Medica Portuguesa,Acta Medica Port,1.141
Acta Metallurgica Sinica,Acta Metall Sin,1.251
Acta Metallurgica Sinica English Letters,Acta Metall Sin-engl,2.755
Acta Microbiologica et Immunologica Hungarica,Acta Microbiol Imm H,2.048
Acta Montanistica Slovaca,Acta Montan Slovaca,1.413
Acta Neurobiologiae Experimentalis,Acta Neurobiol Exp,1.579
Acta Neurochirurgica,Acta Neurochir,2.216
Acta Neurologica Belgica,Acta Neurol Belg,2.396
Acta Neurologica Scandinavica,Acta Neurol Scand,3.209
Acta Neuropathologica,Acta Neuropathol,17.088
Acta Neuropsychiatrica,Acta Neuropsychiatr,3.403
Acta Numerica,Acta Numer,11.091
Acta Obstetricia et Gynecologica Scandinavica,Acta Obstet Gyn Scan,3.636
Acta Oceanologica Sinica,Acta Oceanol Sin,1.431
Acta Odontologica Scandinavica,Acta Odontol Scand,2.331
Acta Oecologica International Journal of Ecology,Acta Oecol,1.674
Acta Oeconomica,Acta Oecon,0.875
Acta of Bioengineering and Biomechanics,Acta Bioeng Biomech,1.073
Acta Oncologica,Acta Oncol,4.089
Acta Ophthalmologica,Acta Ophthalmol,3.761
Acta Ornithologica,Acta Ornithol,1.025
Acta Orthopaedica,Acta Orthop,3.717
Acta Orthopaedica Belgica,Acta Orthop Belg,0.5
Acta Orthopaedica et Traumatologica Turcica,Acta Orthop Traumato,1.511
Acta Ortopedica Brasileira,Acta Ortop Bras,0.513
Acta Oto Laryngologica,Acta Oto-laryngol,1.494
Acta Otorhinolaryngologica Italica,Acta Otorhinolaryngo,2.124
Acta Paediatrica,Acta Paediatr,2.299
Acta Palaeontologica Polonica,Acta Palaeontol Pol,2.061
Acta Parasitologica,Acta Parasitol,1.44
Acta Paulista De Enfermagem,Acta Paul Enferm,0.667
Acta Paulista De Enfermagem,Acta Paul Enferm,0.667
Acta Petrologica Sinica,Acta Petrol Sin,1.41
Acta Pharmaceutica,Acta Pharmaceut,2.23
Acta Pharmacologica Sinica,Acta Pharm Sinic,6.15
Acta Pharmacologica Sinica,Acta Pharmacol Sin,6.15
Acta Physica Polonica a,Acta Phys Pol A,0.577
Acta Physica Polonica b,Acta Phys Pol B,0.748
Acta Physica Sinica,Acta Phys Sin-ch Ed,0.819
Acta Physica Slovaca,Acta Phys Slovaca,0
Acta Physico Chimica Sinica,Acta Phys-chim Sin,2.268
Acta Physiologiae Plantarum,Acta Physiol Plant,2.354
Acta Physiologica,Acta Physiol,6.311
Acta Politica,Acta Polit,2.404
Acta Poloniae Pharmaceutica,Acta Pol Pharm,0.33
Acta Polymerica Sinica,Acta Polym Sin,2
Acta Polytechnica Hungarica,Acta Polytech Hung,1.806
Acta Protozoologica,Acta Protozool,0.892
Acta Psychiatrica Scandinavica,Acta Psychiat Scand,6.392
Acta Psychiatrica Scandinavica,Acta Psychiat Scand,6.392
Acta Psychologica,Acta Psychol,1.734
Acta Radiologica,Acta Radiol,1.99
Acta Reumatologica Portuguesa,Acta Reumatol Port,1.29
Acta Scientiae Veterinariae,Acta Sci Vet,0.337
Acta Scientiarum Agronomy,Acta Sci-agron,2.042
Acta Scientiarum Polonorum Hortorum Cultus,Acta Sci Pol-hortoru,0.673
Acta Scientiarum Technology,Acta Sci-technol,0.55
Actas Espanolas De Psiquiatria,Actas Esp Psiquiatri,1.196
Acta Societatis Botanicorum Poloniae,Acta Soc Bot Pol,0.943
Acta Sociologica,Acta Sociol,1.96
Actas Urologicas Espanolas,Actas Urol Esp,0.994
Acta Tropica,Acta Trop,3.112
Acta Veterinaria Beograd,Acta Vet-beograd,0.8
Acta Veterinaria Brno,Acta Vet Brno,0.667
Acta Veterinaria Hungarica,Acta Vet Hung,0.955
Acta Veterinaria Scandinavica,Acta Vet Scand,1.695
Acta Virologica,Acta Virol,1.162
Acta Zoologica,Acta Zool-stockholm,1.261
Acta Zoologica Academiae Scientiarum Hungaricae,Acta Zool Acad Sci H,0.923
Acta Zoologica Academiae Scientiarum Hungaricae,Acta Zool Hung,0.923
Acta Zoologica Bulgarica,Acta Zool Bulgar,0.448
Actes De La Recherche en Sciences Sociales,Actes Rech Sci Soc,0.429
Action Research,Action Res-london,2.102
Acupuncture Electro Therapeutics Research,Acupuncture Electro,0.143
Acupuncture in Medicine,Acupunct Med,2.267
Adansonia,Adansonia,0.345
Adapted Physical Activity Quarterly,Adapt Phys Act Q,2.929
Adaptive Behavior,Adapt Behav,1.942
Adaptive Behavior,Adapt Behav,1.942
Addiction,Addiction,6.526
Addiction,Addiction,6.526
Addiction Biology,Addict Biol,4.28
Addiction Research Theory,Addict Res Theory,2.336
Addictive Behaviors,Addict Behav,3.913
Addictive Behaviors,Addict Behav,3.913
Ad Hoc Sensor Wireless Networks,Ad Hoc Sens Wirel Ne,1.013
Ad Hoc Networks,Ad Hoc Netw,4.111
Adicciones,Adicciones,2.979
Adicciones,Adicciones,2.979
Administration Society,Admin Soc,2.69
Administration and Policy in Mental Health and Mental Health Services Research,Adm Policy Ment Hlth,2.847
Administrative Law Review,Admin Law Rev,1.929
Administrative Science Quarterly,Admin Sci Quart,11.113
Adsorption Journal of the International Adsorption Society,Adsorption,2.318
Adsorption Science Technology,Adsorpt Sci Technol,4.232
Adult Education Quarterly,Adult Educ Quart,1.788
Advanced Composite Materials,Adv Compos Mater,2.87
Advanced Composites Letters,Adv Compos Lett,0.852
Advanced Drug Delivery Reviews,Adv Drug Deliver Rev,15.47
Advanced Energy Materials,Adv Energy Mater,29.368
Advanced Engineering Informatics,Adv Eng Inform,5.603
Advanced Engineering Materials,Adv Eng Mater,3.862
Advanced Functional Materials,Adv Funct Mater,18.808
Advanced Materials,Adv Mater,30.849
Advanced Materials Processes,Adv Mater Process,0.15
Advanced Nonlinear Studies,Adv Nonlinear Stud,1.446
Advanced Powder Technology,Adv Powder Technol,4.833
Advanced Powder Technology,Mater Sci Forum,4.833
Advanced Robotics,Adv Robotics,1.699
Advanced Steel Construction,Adv Steel Constr,1.145
Advanced Synthesis Catalysis,Adv Synth Catal,5.837
Advances in Agronomy,Adv Agron,6.919
Advances in Anatomic Pathology,Adv Anat Pathol,3.875
Advances in Anatomy Embryology and Cell Biology,Adv Anat Embryol Cel,1.231
Advances in Applied Ceramics,Adv Appl Ceram,2.088
Advances in Applied Clifford Algebras,Adv Appl Clifford Al,1.072
Advances in Applied Mathematics,Adv Appl Math,0.848
Advances in Applied Mathematics and Mechanics,Adv Appl Math Mech,1.727
Advances in Applied Mechanics,Adv Appl Mech,9
Advances in Applied Microbiology,Adv Appl Microbiol,5.086
Advances in Applied Probability,Adv Appl Probab,0.69
Advances in Atmospheric Sciences,Adv Atmos Sci,3.158
Advances in Atomic Molecular and Optical Physics,Adv Atom Mol Opt Phy,1.636
Advances in Atomic Molecular and Optical Physics,Adv Atom Mol Opt Phy,1.636
Advances in Biochemical Engineering Biotechnology,Adv Biochem Eng Biot,2.635
Advances in Biochemical Engineering Biotechnology,Adv Biochem Eng Biot,2.635
Advances in Botanical Research,Adv Bot Res,2.175
Advances in Calculus of Variations,Adv Calc Var,2.537
Advances in Cancer Research,Adv Cancer Res,6.242
Advances in Carbohydrate Chemistry and Biochemistry,Adv Carbohyd Chem Bi,12.2
Advances in Catalysis,Adv Catal,4.9
Advances in Cement Research,Adv Cem Res,1.791
Advances in Chemical Physics,Adv Chem Phys,1
Advances in Child Development and Behavior,Adv Child Dev Behav,2.182
Advances in Chronic Kidney Disease,Adv Chronic Kidney D,3.62
Advances in Clinical and Experimental Medicine,Adv Clin Exp Med,1.727
Advances in Clinical Chemistry,Adv Clin Chem,5.394
Advances in Colloid and Interface Science,Adv Colloid Interfac,12.984
Advances in Complex Systems,Adv Complex Syst,1.226
Advances in Computational Mathematics,Adv Comput Math,1.91
Advances in Computational Mathematics,Lect Notes Pure Appl,1.91
Advances in Computers,Adv Comput,2.655
Advances in Condensed Matter Physics,Adv Cond Matter Phys,1.845
Advances in Data Analysis and Classification,Adv Data Anal Classi,2.134
Advances in Difference Equations,Adv Differ Equ-ny,2.803
Advances in Differential Equations,Adv Differential Equ,1.511
Advances in Ecological Research,Adv Ecol Res,7.429
Advances in Electrical and Computer Engineering,Adv Electr Comput En,1.221
Advances in Engineering Software,Adv Eng Softw,4.141
Advances in Experimental Medicine and Biology,Adv Exp Med Biol,2.622
Advances in Genetics,Adv Genet,1.944
Advances in Geometry,Adv Geom,0.718
Advances in Geophysics,Adv Geophys,7.333
Advances in Health Sciences Education,Adv Health Sci Educ,3.853
Advances in Health Sciences Education,Adv Health Sci Educ,3.853
Advances in Heterocyclic Chemistry,Adv Heterocycl Chem,3.552
Advances in High Energy Physics,Adv High Energy Phys,1.777
Advances in Immunology,Adv Immunol,3.543
Advances in Inorganic Chemistry,Adv Inorg Chem,3.282
Advances in Inorganic Chemistry,Adv Inorg Chem Rad,3.282
Advances in Insect Physiology,Adv Insect Physiol,3.364
Advances in Life Course Research,Adv Life Course Res,2.328
Advances in Marine Biology,Adv Mar Biol,5.143
Advances in Materials Science and Engineering,Adv Mater Sci Eng,1.726
Advances in Mathematics,Adv Math,1.688
Advances in Mathematics of Communications,Adv Math Commun,0.935
Advances in Medical Sciences,Adv Med Sci,3.287
Advances in Medical Sciences,Adv Med Sci-poland,3.287
Advances in Microbial Physiology,Adv Microb Physiol,3.517
Advances in Nursing Science,Adv Nurs Sci,1.824
Advances in Nursing Science,Adv Nurs Sci,1.824
Advances in Organometallic Chemistry,Adv Organomet Chem,4.833
Advances in Parasitology,Adv Parasit,3.87
Advances in Physical Organic Chemistry,Adv Phys Org Chem,2.833
Advances in Physics,Adv Phys,25.375
Advances in Physiology Education,Adv Physiol Educ,2.288
Advances in Polymer Technology,Adv Polym Tech,2.389
Advances in Protein Chemistry and Structural Biology,Adv Protein Chem Str,3.507
Advances in Quantum Chemistry,Adv Quantum Chem,1.029
Advances in Space Research,Adv Space Res,2.152
Advances in Space Research,Adv Space Res-series,2.152
Advances in Strategic Management a Research Annual,Adv Strat M,0.976
Advances in Strategic Management a Research Annual,Adv Strateg Manage,0.976
Advances in Structural Engineering,Adv Struct Eng,1.8
Advances in Theoretical and Mathematical Physics,Adv Theor Math Phys,1.276
Advances in Therapy,Adv Ther,3.845
Advances in the Study of Behavior,Adv Stud Behav,3.818
Advances in Virus Research,Adv Virus Res,9.937
Advances in Water Resources,Adv Water Resour,4.51
Advances in Wound Care,Adv Wound Care,4.73
Aequationes Mathematicae,Aequationes Math,0.832
Aerobiologia,Aerobiologia,2.41
Aeronautical Journal,Aeronaut J,0.818
Aerosol and Air Quality Research,Aerosol Air Qual Res,3.063
Aerosol Science and Technology,Aerosol Sci Tech,2.908
Aerospace,Aerospace,1.659
Aerospace America,Aerospace Am,0.111
Aerospace Science and Technology,Aerosp Sci Technol,5.107
Aesthetic Plastic Surgery,Aesthet Plast Surg,2.326
Aeu International Journal of Electronics and Communications,Aeu-int J Electron C,3.183
Affilia Journal of Women and Social Work,Affilia J Wom Soc Wo,1.597
Afinidad,Afinidad,0.37
Africa,Africa,0.816
African Affairs,Afr Affairs,3.203
Africana Linguistica,Afr Linguist,0.067
African and Asian Studies,Afr Asian Stud,0.31
African Archaeological Review,Afr Archaeol Rev,1.62
African Development Review Revue Africaine De Developpement,Afr Dev Rev,1.878
African Entomology,Afr Entomol,1.188
African Health Sciences,Afr Health Sci,0.927
African Invertebrates,Afr Invertebr,0.36
African Journal of Aquatic Science,Afr J Aquat Sci,1
African Journal of Ecology,Afr J Ecol,1.426
African Journal of Herpetology,Afr J Herpetol,0.611
African Journal of Library Archives and Information Science,Afr J Libr Arch Info,0.828
African Journal of Marine Science,Afr J Mar Sci,1.183
African Journal of Range Forage Science,Afr J Range For Sci,1.293
African Studies,Afr Stud,0.79
African Studies,Afr Stud-uk,0.79
African Studies Review,Afr Stud Rev,1.706
African Zoology,Afr Zool,1.436
Africa Spectrum,Afr Spectr,0.9
Age and Ageing,Age Ageing,10.668
Ageing Society,Ageing Soc,2.786
Ageing Research Reviews,Ageing Res Rev,10.895
Aggression and Violent Behavior,Aggress Violent Beh,4.382
Aggressive Behavior,Aggressive Behav,2.917
Aggressive Behavior,Aggressive Behav,2.917
Aging Mental Health,Aging Ment Health,3.658
Aging Mental Health,Aging Ment Health,3.658
Aging Cell,Aging Cell,9.304
Aging Clinical and Experimental Research,Aging Clin Exp Res,3.636
Aging Clinical and Experimental Research,Aging-clin Exp Res,3.636
Aging Male,Aging Male,5.892
Aging Neuropsychology and Cognition,Aging Neuropsychol C,1.85
Aging Us,Aging-us,5.682
Agrarforschung Schweiz,Agrarforsch Schweiz+,0.25
Agrekon,Agrekon,0.686
Agribusiness,Agribusiness,2.057
Agribusiness,Agribusiness,2.057
Agricultural and Food Science,Agr Food Sci,1.375
Agricultural and Forest Entomology,Agr Forest Entomol,2.509
Agricultural and Forest Entomology,Agric For Entomol,2.509
Agricultural and Forest Meteorology,Agr Forest Meteorol,5.734
Agricultural Economics,Agr Econ,2.585
Agricultural Economics,Agr Econ,2.585
Agricultural Economics,Agr Econ-blackwell,2.585
Agricultural Economics,Agr Econ-blackwell,2.585
Agricultural Economics Zemedelska Ekonomika,Agr Econ-czech,1.711
Agricultural Economics Zemedelska Ekonomika,Agr Econ-czech,1.711
Agricultural History,Agr Hist,0.429
Agricultural History,Agr Hist,0.429
Agricultural Systems,Agr Syst,5.37
Agricultural Water Management,Agr Water Manage,4.516
Agriculture and Human Values,Agr Hum Values,3.295
Agriculture and Human Values,Agr Hum Values,3.295
Agriculture and Human Values,Agric Human Values,3.295
Agriculture and Human Values,Agric Human Values,3.295
Agriculture Ecosystems Environment,Agr Ecosyst Environ,5.567
Agrochimica,Agrochimica,0.604
Agrociencia,Agrociencia,0.391
Agrociencia,Agrociencia-mexico,0.391
Agroforestry Systems,Agroforest Syst,2.549
Agronomy for Sustainable Development,Agron Sustain Dev,5.832
Agronomy Journal,Agron J,2.24
Aiaa Journal,Aiaa J,2.127
Aibr Revista De Antropologia Iberoamericana,Aibr-rev Antropol Ib,0.459
Aiche Journal,Aiche J,3.993
Ai Communications,Ai Commun,0.537
Aids,Aids,4.177
Aids and Behavior,Aids Behav,3.895
Aids Care Psychological and Socio Medical Aspects of Aids Hiv,Aids Care,2.32
Aids Education and Prevention,Aids Educ Prev,1.904
Aids Patient Care and Stds,Aids Patient Care St,5.078
Aids Patient Care and Stds,Aids Patient Care St,5.078
Aids Research and Human Retroviruses,Aids Res Hum Retrov,2.205
Aids Reviews,Aids Rev,2.5
Ai Edam Artificial Intelligence for Engineering Design Analysis and Manufacturing,Ai Edam,1.671
Ai Magazine,Ai Mag,1.094
Aircraft Engineering and Aerospace Technology,Aircr Eng Aerosp Tec,0.975
Ajar African Journal of Aids Research,Ajar-afr J Aids Res,1.3
Ajar African Journal of Aids Research,Ajar-afr J Aids Res,1.3
Ajidd American Journal on Intellectual and Developmental Disabilities,Ajidd-am J Intellect,2.5
Aktuelle Rheumatologie,Aktuel Rheumatol,0.2
Aktuelle Urologie,Aktuel Urol,0.658
Alcheringa,Alcheringa,1.398
Alcohol,Alcohol,2.405
Alcohol and Alcoholism,Alcohol Alcoholism,2.826
Alcohol and Alcoholism,Alcohol Alcoholism,2.826
Alcoholism Clinical and Experimental Research,Alcohol Clin Exp Res,3.455
Aldrichimica Acta,Aldrichim Acta,3.667
Algebra Number Theory,Algebr Number Theory,0.938
Algebra and Logic,Algebr Log+,0.753
Algebra Colloquium,Algebr Colloq,0.429
Algebraic and Geometric Topology,Algebr Geom Topol,0.827
Algebraic Geometry,Contemp Math,1.132
Algebraic Geometry,Lect Notes Math,1.132
Algebraic Geometry,Lect Notes Pure Appl,1.132
Algebras and Representation Theory,Algebr Represent Th,0.689
Algebra Universalis,Algebr Univ,0.626
Algebra Universalis,Algebra Univ,0.626
Algorithmica,Algorithmica,0.791
Algorithms for Molecular Biology,Algorithm Mol Biol,1.405
Alimentary Pharmacology Therapeutics,Aliment Pharm Ther,8.171
Alimentary Pharmacology Therapeutics,Aliment Pharm Therap,8.171
Allelopathy Journal,Allelopathy J,0.962
Allergologia et Immunopathologia,Allergol Immunopath,1.667
Allergologie,Allergologie,0.191
Allergy,Allergy,13.146
Allergy and Asthma Proceedings,Allergy Asthma Proc,2.587
Allergy Asthma Immunology Research,Allergy Asthma Immun,5.764
Alpine Botany,Alpine Bot,2.094
Alternatives,Alternative,1.095
Alternatives,Alternatives,1.095
Alternative Therapies in Health and Medicine,Altern Ther Health M,1.305
Altex Alternatives to Animal Experimentation,Altex-altern Anim Ex,6.043
Alzheimer Disease Associated Disorders,Alz Dis Assoc Dis,2.703
Alzheimers Dementia,Alzheimers Dement,21.566
Ama Agricultural Mechanization in Asia Africa and Latin America,Ama-agr Mech Asia Af,0.141
Ambio,Ambio,5.129
Ambix,Ambix,0.75
Ameghiniana,Ameghiniana,1.653
American Annals of the Deaf,Am Ann Deaf,0.872
American Anthropologist,Am Anthropol,2.327
American Antiquity,Am Antiquity,2.405
American Bankruptcy Law Journal,Am Bankrupt Law J,0.63
American Behavioral Scientist,Am Behav Sci,2.558
American Biology Teacher,Am Biol Teach,0.342
American Business Law Journal,Am Bus Law J,1.533
American Ceramic Society Bulletin,Am Ceram Soc Bull,0.773
American Criminal Law Review,Am Crim Law Rev,3.455
American Economic Journal Applied Economics,Am Econ J-appl Econ,7.272
American Economic Journal Economic Policy,Am Econ J-econ Polic,5.347
American Economic Journal Macroeconomics,Am Econ J-macroecon,4.764
American Economic Journal Microeconomics,Am Econ J-microecon,1.872
American Economic Review,Am Econ Rev,9.17
American Educational Research Journal,Am Educ Res J,4.811
American Ethnologist,Am Ethnol,2.143
American Family Physician,Am Fam Physician,3.292
American Fern Journal,Am Fern J,0.857
American Heart Journal,Am Heart J,4.749
American Historical Review,Am Hist Rev,1.928
American Indian and Alaska Native Mental Health Research,Am Indian Alaska Nat,1.324
American Journal of Agricultural Economics,Am J Agr Econ,4.082
American Journal of Agricultural Economics,Am J Agr Econ,4.082
American Journal of Alzheimers Disease and Other Dementias,Am J Alzheimers Dis,2.035
American Journal of Audiology,Am J Audiol,1.493
American Journal of Bioethics,Am J Bioethics,11.229
American Journal of Bioethics,Am J Bioethics,11.229
American Journal of Botany,Am J Bot,3.844
American Journal of Cardiology,Am J Cardiol,2.778
American Journal of Cardiovascular Drugs,Am J Cardiovasc Drug,3.571
American Journal of Chinese Medicine,Am J Chinese Med,4.667
American Journal of Clinical Dermatology,Am J Clin Dermatol,7.403
American Journal of Clinical Hypnosis,Am J Clin Hypn,1.075
American Journal of Clinical Nutrition,Am J Clin Nutr,7.045
American Journal of Clinical Oncology Cancer Clinical Trials,Am J Clin Oncol-canc,2.339
American Journal of Clinical Pathology,Am J Clin Pathol,2.493
American Journal of Community Psychology,Am J Commun Psychol,3.554
American Journal of Comparative Law,Am J Comp Law,0.764
American Journal of Critical Care,Am J Crit Care,2.228
American Journal of Dentistry,Am J Dent,1.522
American Journal of Dermatopathology,Am J Dermatopath,1.533
American Journal of Drug and Alcohol Abuse,Am J Drug Alcohol Ab,3.829
American Journal of Drug and Alcohol Abuse,Am J Drug Alcohol Ab,3.829
American Journal of Economics and Sociology,Am J Econ Sociol,0.943
American Journal of Education,Am J Educ,1.829
American Journal of Emergency Medicine,Am J Emerg Med,2.469
American Journal of Enology and Viticulture,Am J Enol Viticult,2.253
American Journal of Epidemiology,Am J Epidemiol,4.897
American Journal of Evaluation,Am J Eval,1.967
American Journal of Family Therapy,Am J Fam Ther,0.947
American Journal of Forensic Medicine and Pathology,Am J Foren Med Path,0.921
American Journal of Gastroenterology,Am J Gastroenterol,10.864
American Journal of Geriatric Psychiatry,Am J Geriat Psychiat,4.105
American Journal of Geriatric Psychiatry,Am J Geriat Psychiat,4.105
American Journal of Health Behavior,Am J Health Behav,1.97
American Journal of Health Promotion,Am J Health Promot,2.87
American Journal of Health System Pharmacy,Am J Health-syst Ph,2.637
American Journal of Hematology,Am J Hematol,10.047
American Journal of Hospice Palliative Medicine,Am J Hosp Palliat Me,2.5
American Journal of Human Biology,Am J Hum Biol,1.937
American Journal of Human Biology,Am J Hum Biol,1.937
American Journal of Human Genetics,Am J Hum Genet,11.025
American Journal of Hypertension,Am J Hypertens,2.689
American Journal of Industrial Medicine,Am J Ind Med,2.214
American Journal of Infection Control,Am J Infect Control,2.918
