Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Business and Human Rights Journal,2057-0201,Yes,,,CUP
Business and Politics,1469-3569,Yes,,,CUP
Business Ethics Quarterly,2153-3326,Yes,,,CUP
Business History Review,2044-768X,Yes,,,CUP
Byzantine and Modern Greek Studies,1749-625X,Yes,,,CUP
Cambridge Archaeological Journal,1474-0540,Yes,,,CUP
Cambridge Classical Journal,2047-993X,Yes,,,CUP
Cambridge Journal of Postcolonial Literary Inquiry,2052-2622,Yes,,,CUP
Cambridge Law Journal,1469-2139,Yes,,,CUP
Cambridge Opera Journal,1474-0621,Yes,,,CUP
Cambridge Quarterly of Healthcare Ethics,1469-2147,Yes,,,CUP
Cambridge Yearbook of European Legal Studies,2049-7636,Yes,,,CUP
Canadian Entomologist,1918-3240,Yes,,,CUP
Canadian Journal of Law & Jurisprudence,2056-4260,Yes,,,CUP
Canadian Journal of Law & Society / La Revue Canadienne Droit et Société,1911-0227,Yes,,,CUP
Canadian Journal of Linguistics/Revue canadienne de linguistique,1710-1115,Yes,,,CUP
Canadian Journal of Mathematics,1496-4279,Yes,,,CUP
Canadian Journal of Neurological Sciences,2057-0155,Yes,,,CUP
Canadian Journal of Philosophy,1911-0820,Yes,,,CUP
Canadian Journal of Political Science/Revue canadienne de science politique,1744-9324,Yes,,,CUP
Canadian Journal on Aging / La Revue canadienne du vieillissement,1710-1107,Yes,,,CUP
Canadian Mathematical Bulletin,1496-4287,Yes,,,CUP
Canadian Yearbook of International Law / Annuaire canadien de droit international,1925-0169,Yes,,,CUP
Cardiology in the Young,1467-1107,Yes,,,CUP
Central European History,1569-1616,Yes,,,CUP
China Quarterly   ,1468-2648,Yes,,,CUP
Church History,1755-2613,Yes,,,CUP
Classical Quarterly,1471-6844,Yes,,,CUP
Classical Review,1464-3561,Yes,,,CUP
Clay Minerals,1471-8030,Yes,,,CUP
CNS Spectrums,2165-6509,Yes,,,CUP
Cognitive Behaviour Therapist,1754-470X,Yes,,,CUP
"Combinatorics, Probability and Computing",1469-2163,Yes,,,CUP
Comparative Studies in Society and History,1475-2999,Yes,,,CUP
Compositio Mathematica,1570-5846,Yes,,,CUP
Contemporary European History,1469-2171,Yes,,,CUP
Continuity and Change,1469-218X,Yes,,,CUP
Dance Research Journal              ,1940-509X,Yes,,,CUP
Data & Policy,2632-3249,Yes,,,CUP
Data-Centric Engineering,2632-6736,Yes,,,CUP
Design Science,2053-4701,Yes,,,CUP
Development and Psychopathology,1469-2198,Yes,,,CUP
Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,1759-0949,Yes,,,CUP
Disaster Medicine and Public Health Preparedness,1938-744X,Yes,,,CUP
Du Bois Review: Social Science Research on Race,1742-0598,Yes,,,CUP
Early China,2325-2324,Yes,,,CUP
Early Music History,1474-0559,Yes,,,CUP
Earth and Environmental Science Transactions of The Royal Society of Edinburgh,1755-6929,Yes,,,CUP
Ecclesiastical Law Journal,1751-8539,Yes,,,CUP
Econometric Theory,1469-4360,Yes,,,CUP
Economics & Philosophy,1474-0028,Yes,,,CUP
Eighteenth-Century Music,1478-5714,Yes,,,CUP
English Language & Linguistics,1469-4379,Yes,,,CUP
English Today,1474-0567,Yes,,,CUP
Enterprise & Society,1467-2235,Yes,,,CUP
Environment and Development Economics,1469-4395,Yes,,,CUP
Environmental Conservation,1469-4387,Yes,,,CUP
Environmental Data Science,2634-4602,Yes,,,CUP
Epidemiology & Infection,1469-4409,Yes,,,CUP
Epidemiology and Psychiatric Sciences,2045-7979,Yes,,,CUP
Episteme,1750-0117,Yes,,,CUP
Ergodic Theory and Dynamical Systems,1469-4417,Yes,,,CUP
Ethics & International Affairs,1747-7093,Yes,,,CUP
European Constitutional Law Review,1744-5515,Yes,,,CUP
European Journal of Applied Mathematics,1469-4425,Yes,,,CUP
European Journal of Archaeology,1741-2722,Yes,,,CUP
European Journal of International Security,2057-5645,Yes,,,CUP
European Journal of Risk Regulation,2190-8249,Yes,,,CUP
European Journal of Sociology / Archives Européennes de Sociologie,1474-0583,Yes,,,CUP
European Law Open,2752-6135,Yes,,,CUP
European Political Science Review,1755-7747,Yes,,,CUP
European Psychiatry,1778-3585,Yes,,,CUP
European Review,1474-0575,Yes,,,CUP
Evolutionary Human Sciences,2513-843X,Yes,,,CUP
Experimental Agriculture ,1469-4441,Yes,,,CUP
Experimental Results,2516-712X,Yes,,,CUP
Expert Reviews in Molecular Medicine,1462-3994,Yes,,,CUP
Financial History Review,1474-0052,Yes,,,CUP
Flow: Applications of Fluid Mechanics,2633-4259,Yes,,,CUP
"Forum of Mathematics, Pi",2050-5086,Yes,,,CUP
"Forum of Mathematics, Sigma",2050-5094,Yes,,,CUP
Geological Magazine ,1469-5081,Yes,,,CUP
German Law Journal ,2071-8322,Yes,,,CUP
Glasgow Mathematical Journal,1469-509X,Yes,,,CUP
Global Constitutionalism,2045-3825,Yes,,,CUP
Global Mental Health,2054-4251,Yes,,,CUP
Global Sustainability,2059-4798,Yes,,,CUP
Government and Opposition,1477-7053,Yes,,,CUP
Greece & Rome,1477-4550,Yes,,,CUP
Gut Microbiome,2632-2897,Yes,,,CUP
Harvard Theological Review,1475-4517,Yes,,,CUP
"Health Economics, Policy and Law",1744-134X,Yes,,,CUP
Hegel Bulletin,2051-5375,Yes,,,CUP
High Power Laser Science and Engineering ,2052-3289,Yes,,,CUP
Historical Journal,1469-5103,Yes,,,CUP
History in Africa,1558-2744,Yes,,,CUP
History of Education Quarterly,1748-5959,Yes,,,CUP
Horizons,2050-8557,No,No OA available,,CUP
Hypatia,1527-2001,Yes,,,CUP
Industrial and Organizational Psychology,1754-9434,Yes,,,CUP
Infection Control & Hospital Epidemiology,1559-6834,Yes,,,CUP
International  Journal of Law in Context,1744-5531,Yes,,,CUP
International & Comparative Law Quarterly,1471-6895,Yes,,,CUP
International Annals of Criminology,2398-676X,Yes,,,CUP
International Journal of Asian Studies,1479-5922,Yes,,,CUP
International Journal of Astrobiology,1475-3006,Yes,,,CUP
International Journal of Cultural Property,1465-7317,Yes,,,CUP
International Journal of Legal Information,2331-4117,Yes,,,CUP
International Journal of Microwave and Wireless Technologies,1759-0795,Yes,,,CUP
International Journal of Middle East Studies,1471-6380,Yes,,,CUP
International Journal of Technology Assessment in Health Care,1471-6348,Yes,,,CUP
International Labor and Working-Class History,1471-6445,Yes,,,CUP
International Legal Materials,1930-6571,Yes,,,CUP
International Organization,1531-5088,Yes,,,CUP
International Psychogeriatrics  ,1741-203X,Yes,,,CUP
International Review of Social History,1469-512X,Yes,,,CUP
International Review of the Red Cross,1607-5889,Yes,,,CUP
International Theory,1752-9727,Yes,,,CUP
Invasive Plant Science and Management,1939-747X,Yes,,,CUP
Iranian Studies,1475-4819,Yes,,,CUP
IRAQ,2053-4744,No,No OA available,,CUP
Irish Historical Studies,2056-4139,Yes,,,CUP
Irish Journal of Psychological Medicine,2051-6967,Yes,,,CUP
Israel Law Review,2047-9336,Yes,,,CUP
Italian Political Science Review / Rivista Italiana di Scienza Politica,2057-4908,Yes,,,CUP
Itinerario,2041-2827,Yes,,,CUP
Japanese Journal of Political Science,1474-0060,Yes,,,CUP
Journal of African History,1469-5138,Yes,,,CUP
Journal of African Law,1464-3731,Yes,,,CUP
Journal of Agricultural and Applied Economics,2056-7405,Yes,,,CUP
Journal of Agricultural Science ,1469-5146,Yes,,,CUP
Journal of American Studies,1469-5154,Yes,,,CUP
Journal of Anglican Studies,1745-5278,Yes,,,CUP
Journal of Applied Probability ,1475-6072,No,No OA available,,CUP
Journal of Asian Studies,1752-0401,No,No OA available,,CUP
Journal of Benefit-Cost Analysis,2152-2812,Yes,,,CUP
Journal of Biosocial Science,1469-7599,Yes,,,CUP
Journal of British Studies,1545-6986,Yes,,,CUP
Journal of Child Language,1469-7602,Yes,,,CUP
Journal of Chinese History,2059-1640,Yes,,,CUP
Journal of Classics Teaching,2058-6310,Yes,,,CUP
Journal of Clinical and Translational Science,2059-8661,Yes,,,CUP
Journal of Dairy Research  ,1469-7629,Yes,,,CUP
Journal of Demographic Economics,2054-0906,Yes,,,CUP
Journal of Developmental Origins of Health and Disease,2040-1752,Yes,,,CUP
Journal of East Asian Studies,2234-6643,Yes,,,CUP
Journal of Ecclesiastical History,1469-7637,Yes,,,CUP
Journal of Economic History,1471-6372,Yes,,,CUP
Journal of Experimental Political Science,2052-2649,Yes,,,CUP
Journal of Financial and Quantitative Analysis,1756-6916,Yes,,,CUP
Journal of Fluid Mechanics,1469-7645,Yes,,,CUP
Journal of French Language Studies,1474-0079,Yes,,,CUP
Journal of Functional Programming,1469-7653,Yes,,,CUP
Journal of Germanic Linguistics,1475-3014,Yes,,,CUP
Journal of Glaciology,1727-5652,Yes,,,CUP
Journal of Global History,1740-0236,Yes,,,CUP
Journal of Hellenic Studies,2041-4099,Yes,,,CUP
Journal of Helminthology ,1475-2697,Yes,,,CUP
Journal of Institutional Economics,1744-1382,Yes,,,CUP
Journal of International and Comparative Social Policy,2169-978X,Yes,,,CUP
Journal of Laryngology & Otology ,1748-5460,Yes,,,CUP
Journal of Latin American Studies,1469-767X,Yes,,,CUP
Journal of Law and Religion,2163-3088,Yes,,,CUP
"Journal of Law, Medicine & Ethics",1748-720X,Yes,,,CUP
Journal of Linguistic Geography,2049-7547,Yes,,,CUP
Journal of Linguistics,1469-7742,Yes,,,CUP
Journal of Management & Organization,1839-3527,Yes,,,CUP
Journal of Modern African Studies,1469-7777,Yes,,,CUP
Journal of Navigation,1469-7785,Yes,,,CUP
Journal of Nutritional Science,2048-6790,Yes,,,CUP
Journal of Paleontology,1937-2337,Yes,,,CUP
Journal of Pension Economics & Finance,1475-3022,Yes,,,CUP
Journal of Plasma Physics,1469-7807,Yes,,,CUP
Journal of Policy History,1528-4190,Yes,,,CUP
Journal of Psychologists and Counsellors in Schools,2055-6373,No,No OA available,,CUP
Journal of Public Policy,1469-7815,Yes,,,CUP
"Journal of Race, Ethnicity and Politics",2056-6085,Yes,,,CUP
Journal of Radiotherapy in Practice,1467-1131,Yes,,,CUP
Journal of Roman Archaeology,2331-5709,Yes,,,CUP
Journal of Roman Studies,1753-528X,Yes,,,CUP
Journal of Social Policy,1469-7823,Yes,,,CUP
Journal of Southeast Asian Studies,1474-0680,No,No OA available,,CUP
Journal of Symbolic Logic,1943-5886,Yes,,,CUP
Journal of the American Philosophical Association,2053-4485,Yes,,,CUP
Journal of the Australian Mathematical Society,1446-8107,Yes,,,CUP
Journal of the Gilded Age and Progressive Era,1943-3557,Yes,,,CUP
Journal of the History of Economic Thought,1469-9656,Yes,,,CUP
Journal of the Institute of Mathematics of Jussieu,1475-3030,Yes,,,CUP
Journal of the International Neuropsychological Society,1469-7661,Yes,,,CUP
Journal of the International Phonetic Association,1475-3502,Yes,,,CUP
Journal of the Marine Biological Association of the United Kingdom  ,1469-7769,Yes,,,CUP
Journal of the Royal Asiatic Society,1474-0591,Yes,,,CUP
Journal of the Royal Musical Association,1471-6933,Yes,,,CUP
Journal of the Society for American Music,1752-1971,Yes,,,CUP
Journal of Tropical Ecology,1469-7831,Yes,,,CUP
Journal of Wine Economics ,1931-437X,Yes,,,CUP
Kantian Review,2044-2394,Yes,,,CUP
Knowledge Engineering Review,1469-8005,Yes,,,CUP
Language and Cognition,1866-9859,Yes,,,CUP
Language in Society,1469-8013,Yes,,,CUP
Language Teaching,1475-3049,Yes,,,CUP
Language Variation and Change,1469-8021,Yes,,,CUP
Latin American Antiquity,2325-5080,Yes,,,CUP
Latin American Politics and Society,1548-2456,Yes,,,CUP
Latin American Research Review,1542-4278,Yes,,,CUP
Law & Social Inquiry,1747-4469,Yes,,,CUP
Law and History Review,1939-9022,Yes,,,CUP
Legal Information Management,1741-2021,Yes,,,CUP
Legal Studies,1748-121X,Yes,,,CUP
Legal Theory,1469-8048,Yes,,,CUP
Leiden Journal of International Law,1478-9698,Yes,,,CUP
Libyan Studies,2052-6148,Yes,,,CUP
Lichenologist ,1096-1135,Yes,,,CUP
Macroeconomic Dynamics,1469-8056,Yes,,,CUP
Management and Organization Review,1740-8784,Yes,,,CUP
Mathematical Proceedings of the Cambridge Philosophical Society,1469-8064,Yes,,,CUP
Mathematical Structures in Computer Science,1469-8072,Yes,,,CUP
Medical History,2048-8343,Yes,,,CUP
"Memory, Mind & Media",2635-0238,Yes,,,CUP
Microscopy and Microanalysis,1435-8115,Yes,,,CUP
Microscopy Today ,2150-3583,Yes,,,CUP
Mineralogical Magazine,1471-8022,Yes,,,CUP
Modern American History,2397-1851,Yes,,,CUP
Modern Asian Studies,1469-8099,Yes,,,CUP
Modern Intellectual History,1479-2451,Yes,,,CUP
Modern Italy,1469-9877,Yes,,,CUP
Nagoya Mathematical Journal,2152-6842,Yes,,,CUP
National Institute Economic Review,1741-3036,Yes,,,CUP
Nationalities Papers,1465-3923,Yes,,,CUP
Natural Language Engineering,1469-8110,Yes,,,CUP
Netherlands Journal of Geosciences,1573-9708,Yes,,,CUP
Network Science,2050-1250,Yes,,,CUP
New Perspectives on Turkey,1305-3299,Yes,,,CUP
New Surveys in the Classics,2052-8531,No,No OA available,,CUP
New Testament Studies,1469-8145,Yes,,,CUP
New Theatre Quarterly,1474-0613,Yes,,,CUP
Nineteenth-Century Music Review,2044-8414,Yes,,,CUP
Nordic Journal of Linguistics,1502-4717,Yes,,,CUP
Nutrition Research Reviews,1475-2700,Yes,,,CUP
Organised Sound,1469-8153,Yes,,,CUP
Oryx,1365-3008,Yes,,,CUP
Paleobiology,1938-5331,Yes,,,CUP
Palliative & Supportive Care,1478-9523,Yes,,,CUP
Papers of the British School at Rome,2045-239X,No,No OA available,,CUP
Parasitology,1469-8161,Yes,,,CUP
Personality Neuroscience,2513-9886,Yes,,,CUP
Perspectives on Politics,1541-0986,Yes,,,CUP
Philosophy,1469-817X,Yes,,,CUP
Philosophy of Science,1539-767X,Yes,,,CUP
Phonology ,1469-8188,Yes,,,CUP
Plainsong & Medieval Music,1474-0087,Yes,,,CUP
Plant Genetic Resources,1479-263X,Yes,,,CUP
PMLA / Publications of the Modern Language Association of America,1938-1530,No,No OA available,,CUP
Polar Record,1475-3057,Yes,,,CUP
Political Analysis,1476-4989,Yes,,,CUP
Political Science Research and Methods,2049-8489,Yes,,,CUP
Political Science Today,2766-726X,Yes,,,CUP
Politics & Gender,1743-9248,Yes,,,CUP
Politics and Religion ,1755-0491,Yes,,,CUP
Politics and the Life Sciences,1471-5457,Yes,,,CUP
Popular Music,1474-0095,Yes,,,CUP
Powder Diffraction,1945-7413,Yes,,,CUP
Prehospital and Disaster Medicine,1945-1938,Yes,,,CUP
Primary Health Care Research & Development,1477-1128,Yes,,,CUP
Probability in the Engineering and Informational Sciences,1469-8951,Yes,,,CUP
Proceedings of the ASIL Annual Meeting ,2169-1118,Yes,,,CUP
Proceedings of the Design Society,2732-527X,Yes,,,CUP
Proceedings of the Edinburgh Mathematical Society,1464-3839,Yes,,,CUP
Proceedings of the International Astronomical Union  ,1743-9221,Yes,,,CUP
Proceedings of the Nutrition Society,1475-2719,Yes,,,CUP
Proceedings of the Prehistoric Society,2050-2729,Yes,,,CUP
Proceedings of the Royal Society of Edinburgh Section A: Mathematics,1473-7124,Yes,,,CUP
PS: Political Science & Politics,1537-5935,Yes,,,CUP
Psychological Medicine ,1469-8978,Yes,,,CUP
Public Health Nutrition,1475-2727,Yes,,,CUP
Publications of the Astronomical Society of Australia,1448-6083,Yes,,,CUP
QRB Discovery,2633-2892,Yes,,,CUP
Quantitative Plant Biology,2632-8828,Yes,,,CUP
Quarterly Reviews of Biophysics,1469-8994,Yes,,,CUP
Quaternary Research,1096-0287,Yes,,,CUP
Radiocarbon,1945-5755,Yes,,,CUP
Ramus,2202-932X,Yes,,,CUP
ReCALL,1474-0109,Yes,,,CUP
Religion and American Culture,1533-8568,No,No OA available,,CUP
Religious Studies,1469-901X,Yes,,,CUP
Renaissance Quarterly,1935-0236,Yes,,,CUP
Renewable Agriculture and Food Systems,1742-1713,Yes,,,CUP
Review of International Studies,1469-9044,Yes,,,CUP
Review of Middle East Studies,2329-3225,Yes,,,CUP
Review of Politics,1748-6858,Yes,,,CUP
Review of Symbolic Logic,1755-0211,Yes,,,CUP
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,2041-3335,Yes,,,CUP
Robotica,1469-8668,Yes,,,CUP
Royal Historical Society Camden Fifth Series,1478-5110,Yes,,,CUP
Royal Institute of Philosophy Supplements,1755-3555,No,No OA available,,CUP
Royal Musical Association Research Chronicle,2167-4027,Yes,,,CUP
Rural History,1474-0656,Yes,,,CUP
Science in Context,1474-0664,Yes,,,CUP
Scottish Journal of Theology,1475-3065,Yes,,,CUP
Seed Science Research,1475-2735,Yes,,,CUP
Slavic Review,2325-7784,Yes,,,CUP
Social Philosophy and Policy,1471-6437,Yes,,,CUP
Social Policy and Society,1475-3073,Yes,,,CUP
Social Science History,1527-8034,Yes,,,CUP
State Politics & Policy Quarterly,1946-1607,Yes,,,CUP
Studies in American Political Development,1469-8692,Yes,,,CUP
Studies in Church History,2059-0644,Yes,,,CUP
Studies in Second Language Acquisition,1470-1545,Yes,,,CUP
TDR: The Drama Review,1531-4715,Yes,,,CUP
Tempo,1478-2286,Yes,,,CUP
The Aeronautical Journal,2059-6464,Yes,,,CUP
The Mathematical Gazette,2056-6328,Yes,,,CUP
The Spanish Journal of Psychology,1988-2904,Yes,,,CUP
Theatre Research International,1474-0672,Yes,,,CUP
Theatre Survey,1475-4533,Yes,,,CUP
Theory and Practice of Logic Programming,1475-3081,Yes,,,CUP
Think,1755-1196,Yes,,,CUP
Traditio,2166-5508,Yes,,,CUP
TRaNS: Trans-Regional and -National Studies of Southeast Asia,2051-3658,Yes,,,CUP
Transactions of the Royal Historical Society ,1474-0648,Yes,,,CUP
Transnational Environmental Law ,2047-1033,Yes,,,CUP
Twentieth-Century Music,1478-5730,Yes,,,CUP
Twin Research and Human Genetics,1839-2628,Yes,,,CUP
Urban History,1469-8706,Yes,,,CUP
Utilitas,1741-6183,Yes,,,CUP
Victorian Literature and Culture,1470-1553,Yes,,,CUP
Visual Neuroscience,1469-8714,Yes,,,CUP
Wearable Technologies,2631-7176,Yes,,,CUP
Weed Science,1550-2759,Yes,,,CUP
Weed Technology,1550-2740,Yes,,,CUP
World Politics,1086-3338,No,No OA available,,CUP
World Trade Review,1475-3138,Yes,,,CUP
Yearbook for Traditional Music,2304-3857,Yes,,,CUP
Zygote,1469-8730,Yes,,,CUP
